เตมิย์	Temiya
เป็นจริงตามนั้น	(It) was truly like that
แต่เรารู้ไว้ว่า	But we know that
เป็นนิทานของคนโบราณส่วนหนึ่ง	It is partly an ancient tale
เมื่อพระกุมารทรงพระเจริญ พอที่จะฟัง	When the prince grew up enough to listen
คำพูดเข้าใจ	(And) understood speech
และรู้ถูกผิดครรลองแล้ว	And knew right and wrong
วันหนึ่งพระราชบิดาทรงอุ้มอยู่	One day, the king (his father) was holding him
แต่ทรงพิจารณาโทษนรชนไปด้วย	While also considering punishments for people
มีราชบุรุษนำโจร	There was a royal officer bringing a thief
ตัวคนนั้นมาให้พิพากษาโทษ	The person was brought for sentencing
พระราชจึงตรัสสั่งให้ลงอาชญาแก่โจรคนนั้นอย่างแรง	Then the king ordered the thief to be severely punished
แม้นเป็นเด็กน้อย	Even though (Temiya) was a little child
ให้เอาหอกแทง	(He ordered) to have (him) pierced with a spear
ให้เอาหวายหวด	(He ordered) to have (him) whipped with a rattan cane
พระกุมารเห็นการพิจารณาโทษนั้นหนา	The prince saw that sentencing
ก็ตกใจ	(And) was terrified
การสังเวชสดุ้ง	(And) was greatly shaken with sorrow
เห็นว่าการลงโทษเช่นนั้น	(He) saw that such punishment
เป็นบาปอันใหญ่	Was a great sin
วิตกกังวลภายหน้า	(And) became anxious for the future
ต่อไปเมื่อเติบโตขึ้น	(Thinking that) later, when he grew up
พระราชาก็จะต้องพิพากษาลงโทษนรชนเช่นนั้นบ้าง	The king would also have to sentence people in that way
จึงบังเกิดความเดือดร้อน	(So he) became distressed
แต่คิดหาทางที่จะหลีกเลี่ยง	But (he) thought of a way to escape
มิให้ต้องครองราชสมบัติ	So that he would not have to inherit the throne
มาตั้งต้นนั้น	From the very beginning
มีเรื่องว่า	(There) is a story that
เทพดาผู้รักษาเตมิยชาดกนั้น	(About) the deity who protected *Temiya-Jataka*
แนะพระเตมิย์	(She) advised Prince Temiya
ให้ทำตนเป็นคนใบ้และง่อยเปลี้ย	To pretend to be mute and disabled
เมื่อตนโตแล้ว	When he grew up
ก็ไม่พูดและไม่ทำอะไร	(He) did not speak or do anything
พระราชาทรงบริสุทธิ์ยิ่ง	(The) king was very pure
ย่อมมุ่งหวังว่า	(He) naturally hoped that
ผู้จะสืบราชบุตรสายราชวงศ์	(One) who would inherit the royal lineage
ตามตระกูลพระวงศ์นั้นไซร้	Following that royal dynasty
ไม่ใช่คนใบ้หรือง่อย	Should not be mute or disabled